ID,title,image_link,platform1,platform2,platform3,platform4,platform5,platform6,score
68,Anamorphine,unreleased,PS4\,XboxOne,na,na,na,na,0
69,Anarcute,unreleased,PS4\,XboxOne,na,na,na,na,3.88E-05
70,Ancestors,unreleased,PS4\,XboxOne,na,na,na,na,0.015176362
71,Anew: The Distant Light,unreleased,PS4,na,na,na,na,na,0.005036146
72,AngerForce: Reloaded,unreleased,PS4,na,na,na,na,na,0.003638834
73,Angry Birds Star Wars,https://upload.wikimedia.org/wikipedia/en/8/8d/Angry_Birds_Star_Wars.png,PS4\,PS3\,WiiU\,Xbox360\,XboxOne,na,0.007636699
74,Anodyne,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Anodyne_logo.jpg/220px-Anodyne_logo.jpg,PS4\,XboxOne,na,na,na,na,0.008519722
75,Anoko wa Ore kara Hanarenai,unreleased,PS4,na,na,na,na,na,0
76,Anomaly 2,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/AnomalyWarzoneEarthTitleArt.jpg/220px-AnomalyWarzoneEarthTitleArt.jpg,PS4,na,na,na,na,na,0.049701616
77,Anonymous;Code,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Anonymous%3BCode.png/220px-Anonymous%3BCode.png,PS4\,Switch,na,na,na,na,0.107660958
78,Another World: 20th Anniversary Edition,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Another_World_Coverart.png/220px-Another_World_Coverart.png,PS4\,PS3\,WiiU\,XboxOne,na,na,0.005327252
79,Anthem,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Cover_Art_of_Anthem.jpg/220px-Cover_Art_of_Anthem.jpg,PS4\,XboxOne,na,na,na,na,0.009703556
80,Antiquia Lost,unreleased,PS4\,Switch,na,na,na,na,0.000514288
81,AO Tennis,https://upload.wikimedia.org/wikipedia/en/1/11/AO_Tennis_cover.jpg,PS4,na,na,na,na,na,0.004298675
82,A Pixel Story,unreleased,PS4\,XboxOne,na,na,na,na,0.020261026
83,A Plague Tale: Innocence,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/A_Plague_Tale_Innocence_artwork.jpg/220px-A_Plague_Tale_Innocence_artwork.jpg,PS4\,XboxOne,na,na,na,na,0.00766581
84,Apotheon,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Apotheon_logo.png/220px-Apotheon_logo.png,PS4,na,na,na,na,na,0.003697055
85,Aqua Moto Racing Utopia,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Aqua_Moto_Racing.jpg/220px-Aqua_Moto_Racing.jpg,PS4\,Switch\,WiiU\,XboxOne,na,na,0.005366067
86,Aragami,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Aragami_%28video_game%29.jpg/220px-Aragami_%28video_game%29.jpg,PS4,na,na,na,na,na,0.001795158
87,Arcade Archives: A-Z,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Arcade_Archives_logo.svg/250px-Arcade_Archives_logo.svg.png,PS4,na,na,na,na,na,0
88,Arcania: The Complete Tale,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Arcania_Gothic_4_Game_Cover.jpg/220px-Arcania_Gothic_4_Game_Cover.jpg,PS4\,PS3,na,na,na,na,1.94E-05
89,Ark: Survival Evolved,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/ArkSurvivalEvolved.png/220px-ArkSurvivalEvolved.png,PS4\,Switch\,XboxOne,na,na,na,0.007617292
90,Armello,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Armello.png/220px-Armello.png,PS4\,Switch\,XboxOne,na,na,na,0.008616758
91,Art of Balance,https://upload.wikimedia.org/wikipedia/en/b/b7/Art_of_balance.jpg,PS4\,Switch\,WiiU,na,na,na,0.093105623
92,Asemblance,unreleased,PS4\,XboxOne,na,na,na,na,0.000145553
93,Ashen Rift,unreleased,PS4,na,na,na,na,na,0.000921838
94,Ashes Cricket,unreleased,PS4\,XboxOne,na,na,na,na,0.004977924
95,Assassin's Creed III Remastered,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Assassin%27s_Creed_III_Game_Cover.jpg/220px-Assassin%27s_Creed_III_Game_Cover.jpg,PS4\,Switch,na,na,na,na,0.007345592
96,Assassin's Creed IV: Black Flag,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Assassin%27s_Creed_IV_-_Black_Flag_cover.jpg/220px-Assassin%27s_Creed_IV_-_Black_Flag_cover.jpg,PS4\,PS3\,WiiU\,Xbox360\,XboxOne,na,0.016796856
97,Assassin's Creed Chronicles: China,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Assassin%27s_Creed_Chronicles_cover_art.jpg/220px-Assassin%27s_Creed_Chronicles_cover_art.jpg,PS4\,XboxOne,na,na,na,na,0.001795158
98,Assassin's Creed Chronicles: India,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Assassin%27s_Creed_Chronicles_cover_art.jpg/220px-Assassin%27s_Creed_Chronicles_cover_art.jpg,PS4\,XboxOne,na,na,na,na,0.00057251
99,Assassin's Creed Chronicles: Russia,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Assassin%27s_Creed_Chronicles_cover_art.jpg/220px-Assassin%27s_Creed_Chronicles_cover_art.jpg,PS4\,XboxOne,na,na,na,na,0.000747174
100,Assassin's Creed: The Ezio Collection,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Assassin%27s_Creed_Logo.svg/250px-Assassin%27s_Creed_Logo.svg.png,PS4\,XboxOne,na,na,na,na,0.011915967
101,Assassin's Creed Odyssey,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/ACOdysseyCoverArt.png/220px-ACOdysseyCoverArt.png,PS4\,Switch\,XboxOne,na,na,na,0.00971326
102,Assassin's Creed: Origins,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Assassin%27s_Creed_Origins_Cover_Art.png/220px-Assassin%27s_Creed_Origins_Cover_Art.png,PS4,na,na,na,na,na,0.00739411
